neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
251-2-10-RS,142441,14058.3,6699.74,1.34594,68.4097,1.01501,1218.79,5.0,40.0,85.0,156.303,455.631,112.27,1.18448,346.67,412.226,14.0,0.949483,640.0,0.545565,53.0293,3541.64
251-2-11-RS,142386,17053.2,7671.96,1.37486,57.7615,1.01436,1103.17,7.0,44.0,95.0,281.67,436.16,93.57,1.14939,503.782,531.477,10.0,0.94559,770.0,0.44926,50.736,4482.32
251-2-12-RS,142478,15729.4,8392.91,1.33435,61.0594,1.01636,1253.91,6.0,33.0,72.0,247.919,339.92,109.7,1.21634,252.446,287.05,9.0,0.943186,653.0,0.518144,54.1378,3832.97
251-2-13-CD,142766,32676.5,21295.5,1.45101,59.552,1.00902,661.642,7.0,36.0,79.0,261.018,578.379,107.97,2.21719,481.46,500.329,9.0,0.959362,342.0,0.411911,50.8742,4605.1
251-2-14-CD,142240,25101.0,11092.0,1.60585,72.9462,1.01401,1126.26,6.0,44.0,94.0,212.078,670.819,108.51,1.58471,677.296,709.738,14.0,0.947298,427.0,0.399357,57.2608,5061.82
251-2-15-RS,142821,21714.3,11038.9,1.4588,61.9998,1.0132,1182.88,5.0,47.0,99.0,276.6,421.03,106.61,1.45244,353.924,370.376,9.0,0.948825,598.0,0.457408,52.5311,4635.83
251-2-16-RS,142372,9697.14,4718.02,1.3601,65.9459,1.01428,811.078,6.0,27.0,60.0,173.057,331.329,89.34,1.30821,311.512,330.633,6.0,0.947455,341.0,0.28274,54.474,2195.74
251-2-17-CD,142616,25801.0,13625.1,1.34765,63.992,1.0103,1475.9,6.0,40.0,86.0,291.683,406.669,134.62,1.68149,312.314,335.475,11.0,0.959558,476.0,0.476345,55.9422,4885.81
251-2-18-RS,142551,30092.2,17874.7,1.32669,61.2437,1.01475,2411.12,7.0,56.0,119.0,276.263,753.86,109.0,1.34647,750.969,780.212,14.0,0.946741,1126.0,0.437516,51.1136,6602.92
251-2-19-RS,142480,18850.3,7762.89,1.46103,57.8645,1.01357,1439.33,7.0,43.0,93.0,313.141,542.231,115.89,1.12044,404.846,449.481,12.0,0.954183,933.0,0.509529,50.497,4996.18
251-2-2-CD,142587,12803.5,6107.63,1.36354,63.6221,1.00972,745.626,4.0,28.0,60.0,249.941,430.69,61.77,1.58178,463.315,484.49,12.0,0.963744,321.0,0.582413,56.8043,2681.57
251-2-20-RS,142524,13442.3,5682.19,1.43287,62.8431,1.01043,697.876,7.0,38.0,83.0,232.71,406.711,108.29,1.18511,312.599,342.618,8.0,0.955304,669.0,0.441637,53.2145,3441.66
251-2-3-CD,142455,27480.8,13875.8,1.44651,64.4474,1.01213,1054.37,5.0,43.0,91.0,268.119,373.32,109.98,1.7648,238.152,256.543,8.0,0.957985,537.0,0.398511,61.177,5035.28
251-2-4-CD,142579,14270.8,6147.87,1.40737,56.9237,1.01126,733.472,6.0,37.0,80.0,257.241,379.881,125.0,1.46426,304.77,321.832,8.0,0.963375,373.0,0.339343,49.2055,3115.02
251-2-5-CD,142833,13708.7,7009.05,1.3815,67.5677,1.01067,848.44,6.0,37.0,80.0,140.852,398.15,77.28,1.72869,280.711,287.771,9.0,0.967845,312.0,0.362118,61.544,2603.12
251-2-6-CD,142638,33048.0,17591.5,1.51088,64.8246,1.0101,1069.81,5.0,45.0,95.0,273.86,451.336,115.14,1.91661,404.813,418.863,10.0,0.965105,454.0,0.34327,56.5431,5547.93
251-2-7-CD,142740,13734.7,7234.54,1.43514,61.5332,1.01209,1148.35,5.0,39.0,83.0,187.113,322.568,102.84,1.53499,198.527,218.384,8.0,0.960975,353.0,0.511999,54.1208,2800.21
251-2-8-RS,142786,16511.2,7577.12,1.39947,63.4821,1.01638,1494.6,5.0,42.0,89.0,233.31,477.26,116.02,1.13375,464.113,480.185,12.0,0.949205,722.0,0.46405,54.4202,4355.5
251-2-9-RS,142492,16374.1,8387.04,1.36028,65.1386,1.01225,902.83,5.0,46.0,97.0,300.411,382.999,122.87,1.08474,300.355,356.138,11.0,0.956133,763.0,0.500248,56.5913,4474.03
254-1-1-CD,142512,11847.6,4913.32,1.59985,67.4722,1.01216,617.056,7.0,39.0,85.0,204.11,313.491,98.8,1.36432,299.786,311.783,11.0,0.961768,375.0,0.514557,65.2195,2786.02
254-1-10-RS,142351,17025.9,6940.03,1.46384,62.8638,1.01576,1110.57,8.0,52.0,112.0,257.52,462.62,83.8,0.980915,416.193,434.585,16.0,0.942569,1060.0,0.550775,54.4708,5224.11
254-1-11-CD,142350,12799.2,4654.07,1.4922,62.4101,1.0103,724.175,7.0,47.0,101.0,185.52,457.01,101.57,1.18567,405.334,445.3,13.0,0.964938,471.0,0.449326,55.3655,3440.25
250-2-11-RS,142654,24245.1,12837.8,1.41231,67.9637,1.01547,1349.27,7.0,48.0,103.0,365.266,346.653,115.07,1.48688,304.44,321.136,12.0,0.945001,706.0,0.407905,59.0245,4893.29
250-2-12-RS,142207,11429.5,5267.04,1.43374,62.9223,1.01734,711.146,6.0,30.0,66.0,257.603,333.441,97.23,1.27288,254.456,284.786,10.0,0.946431,577.0,0.449418,50.2197,2694.98
250-2-13-CD,142392,16552.7,9377.94,1.4871,57.7606,1.01026,911.655,5.0,29.0,63.0,157.997,330.372,101.86,2.06089,214.018,232.531,8.0,0.962048,258.0,0.351518,53.2381,2608.45
250-2-14-CD,142352,27920.0,17105.8,1.47584,58.1224,1.01085,1041.51,6.0,44.0,94.0,230.461,379.249,115.2,2.27987,299.149,322.879,10.0,0.960843,310.0,0.464502,50.5658,4004.76
250-2-15-CD,142669,17075.2,9229.27,1.42841,63.2431,1.01028,843.651,9.0,34.0,77.0,190.27,431.48,108.24,1.88003,339.164,368.844,8.0,0.964575,347.0,0.388655,56.1548,2934.67
250-2-16-RS,142710,13043.0,5905.04,1.47389,54.9797,1.01314,674.107,7.0,37.0,81.0,229.189,303.33,108.84,1.24266,226.613,283.195,5.0,0.94813,692.0,0.387446,54.237,3170.04
250-2-17-RS,142794,12319.0,6091.56,1.36841,55.6932,1.01329,1183.9,6.0,28.0,62.0,174.533,353.051,102.96,1.32314,295.092,356.429,9.0,0.947906,528.0,0.47413,52.6138,2720.96
250-2-18-RS,142701,23292.3,12930.7,1.42482,59.0763,1.01402,2027.48,6.0,45.0,96.0,244.589,572.179,119.39,1.53304,419.136,433.168,11.0,0.951104,833.0,0.446645,50.7511,4570.37
250-2-2-CD,142495,12760.3,6654.19,1.49841,55.397,1.01256,656.764,5.0,26.0,57.0,159.5,339.43,83.37,1.92441,297.567,329.319,9.0,0.964448,222.0,0.341636,51.0522,2181.07
250-2-20-RS,142825,9743.65,4034.55,1.49782,59.1557,1.01076,545.922,5.0,37.0,79.0,152.054,316.031,104.72,1.16046,242.476,254.109,7.0,0.965327,461.0,0.332957,52.0053,2543.22
250-2-3-CD,142354,37067.3,24640.0,1.45276,60.8423,1.01211,2287.38,4.0,50.0,104.0,304.534,501.685,113.3,2.28916,355.135,408.048,10.0,0.965642,477.0,0.495497,52.6174,5210.56
250-2-4-CD,142449,11501.5,6534.3,1.49733,56.4973,1.01049,923.816,5.0,23.0,51.0,240.41,240.697,92.24,2.03102,239.642,246.222,8.0,0.966827,196.0,0.387841,54.9008,1857.24
250-2-5-CD,142723,28731.0,15885.9,1.47318,63.724,1.01175,1175.55,7.0,50.0,107.0,292.718,346.426,120.72,1.99302,237.341,276.748,12.0,0.961299,500.0,0.389037,52.0235,4602.94
250-2-6-CD,142227,18534.8,10897.5,1.51997,73.3489,1.01198,1020.27,8.0,35.0,78.0,169.926,264.414,131.86,2.07993,218.771,248.473,7.0,0.960776,302.0,0.41671,66.8433,2801.86
