neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
72421,h184b-cel-2,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72422,h184b-cel-3,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72437,h189a-cel-19,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72433,h189a-cel-1,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72439,h189a-cel-20,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72440,h189a-cel-21,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72438,h189a-cel-2,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72441,h189a-cel-3,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72442,h189a-cel-4,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72443,h189a-cel-5,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72444,h189a-cel-6,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72445,h189a-cel-7,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72446,h189a-cel-8,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72447,h189a-cel-9,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72470,h189a-cel17,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,"brodmann area 20, layer 5",principal cell,pyramidal,not reported,dendrites moderate
72448,h189b-cel-10,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
