neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
1091,10a_spindle18aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1069,11a_pyramidal16aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1070,11o_pyramidal12aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1092,12a_spindle19aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/12a_spindle19aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1093,12o_spindle9aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1094,13o_spindle10aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1095,15o_spindle12aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1071,17o_pyramidal13aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/17o_pyramidal13afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1072,18o_pyramidal14aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1097,19o_spindle14aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
